name,lat,lon
"서울특별시 용산구 서빙고로 67, 지하1~4층 (용산동5가, 파크타워)",37.5242745,126.9706847
"서울특별시 용산구 이촌로2가길 66, 지하1~2층 (이촌동, 북한강아파트)",37.52730794,126.9537947
"서울특별시 용산구 회나무로13길 58 (이태원동, 이태원제2동주민센터)",37.54193329,126.9901761
"서울특별시 용산구 보광로5길 40 (보광동, 리버빌아파트)",37.52428992,127.0008583
"서울특별시 용산구 백범로90길 26, 지하1~3층 (문배동, 용산아크로타워)",37.53675372,126.9685515
"서울특별시 용산구 한강대로23길 55, 용산역 지하1~3층 (한강로3가)",37.52955744,126.9641566
"서울특별시 용산구 이촌로71길 24, 이촌제1동주민센터, 용산청소년수련관 지하 1~2층 (이촌동)",37.52126268,126.9732463
"서울특별시 용산구 백범로 260 (효창동, 효창파크푸르지오)",37.54012014,126.9582089
서울특별시 용산구 녹사평대로 228 (이태원동),37.53794711,126.9870011
"서울특별시 용산구 대사관로 59, 순천향대학병원 신관 지하 1~2층 (한남동)",37.53370749,127.0043066
"서울특별시 용산구 장문로 95 (보광동, 보광동 주민센터)",37.5262643,127.0001064
"서울특별시 용산구 후암로 65 (후암동, 브라운스톤 남산아파트)",37.55132611,126.9762543
"서울특별시 성동구 왕십리로 222, 한양대학교 (사근동)",37.55774179,127.0473934
"서울특별시 성동구 왕십리로 지하77, 서울숲역 (성수동1가)",37.54402679,127.0448769
"서울특별시 성동구 왕십리로 410 (하왕십리동, 센트라스)",37.56611045,127.0276465
"서울특별시 성동구 연무장5가길 25, 성수역 SK V1 Tower (성수동2가)",37.54358065,127.0556437
"서울특별시 성동구 성수일로10길 33, 기독교대한성결교회 (성수동2가)",37.54659223,127.0538702
"서울특별시 성동구 독서당로 191 (옥수동, 옥수동극동아파트)",37.54326596,127.0115514
"서울특별시 성동구 둘레길 21 (성수동1가, 성수동동양아파트)",37.53769129,127.0463144
"서울특별시 성동구 동일로 237 (송정동, 서울숲아이파크)",37.55290809,127.0692071
"서울특별시 성동구 금호산길 8 (금호동3가, 금호1차푸르지오아파트)",37.5505608,127.0207461
"서울특별시 성동구 금호산길 27 (금호동3가, 금호동한신휴플러스아파트)",37.55033064,127.0179358
"서울특별시 성동구 무학봉길 76 (하왕십리동, 하왕십리 신영지웰)",37.56084282,127.0311071
서울특별시 성동구 왕십리광장로 17 (행당동),37.56128899,127.0383818
"서울특별시 성동구 상원6길 16 (성수동1가, 성수2차대우아파트)",37.54841041,127.0501539
"서울특별시 성동구 상원길 76 (성수동1가, 성수동동아그린아파트)",37.55090202,127.0480161
"서울특별시 성동구 독서당로62길 43 (응봉동, 대림아파트)",37.55193076,127.0332645
"서울특별시 성동구 마장로27길 13, 지하1층 (마장동)",37.56770846,127.034059
"서울특별시 성동구 고산자로4길 34 (응봉동, 응봉동리버그린동아아파트)",37.55306596,127.0372523
"서울특별시 성동구 왕십리로31나길 18 (하왕십리동, 한신무학아파트)",37.56235261,127.0283787
"서울특별시 성동구 난계로 84(하왕십리동, 왕십리풍림아이원)",37.55896634,127.025315
"서울특별시 성동구 무학로6길 50 (도선동, 성동삼성쉐르빌)",37.56439313,127.0349364
"서울특별시 성동구 고산자로 269 (도선동, 신한넥스텔)",37.56371792,127.0357605
"서울특별시 성동구 왕십리로 309 (행당동, 왕십리역이스타빌)",37.56119845,127.0346099
"서울특별시 성동구 동일로43길 9 (송정동, 송원초등학교)",37.55405884,127.0694376
"서울특별시 성동구 동일로 263 (송정동, 송정동건영아파트)",37.55599882,127.0708951
"서울특별시 성동구 광나루로 297 (송정동, 성동세무서)",37.54846943,127.0628166
"서울특별시 성동구 둘레15길 7(성수동2가, 청구강변아파트)",37.53533251,127.0548586
"서울특별시 성동구 천호대로78길 15-48 (용답동, 서울시투자기관교육복지센터)",37.561562,127.0566354
"서울특별시 성동구 자동차시장1길 14 (용답동, 와이엠프라젠아파트)",37.56131982,127.0586764
"서울특별시 성동구 왕십리로 지하 374 (하왕십리동, 상왕십리역)",37.56397326,127.0298082
"서울특별시 성동구 고산자로 270 (행당동, 성동구청)",37.5632157,127.0367463
